ticker,mentions,avg_sentiment,last,avg_dollar_vol,rank_score
ANY,63,0.6732873015873014,0.7110000252723694,334010.3590375185,105.41709999999999
TOP,17,0.6472823529411764,1.2799999713897705,341795.552662611,28.0038
PSTV,8,0.6924125,0.6200000047683716,27205972.219921052,13.5393
FAIR,7,0.7708857142857143,0.5249999761581421,302522.9622320652,12.3962
ATCH,5,0.69416,0.7900000214576721,178473609.4254896,8.4708
LAB,4,0.88965,1.2999999523162842,1601616.0757899284,7.5586
MVST,3,0.8531333333333334,3.869999885559082,26550729.89837408,5.5594
SKIN,2,0.9825,1.9700000286102295,2482315.716741085,3.965
PETS,2,0.96305,2.6500000953674316,329609.6050143242,3.9261
HIVE,2,0.84545,3.5199999809265137,169850877.78145075,3.6909
NVNI,2,0.79235,1.4500000476837158,15526833.244251013,3.5846999999999998
RBNE,2,0.56135,1.2699999809265137,1259884.4794023037,3.1227
SHOT,2,0.12330000000000002,0.2809999883174896,2683178.9688304067,2.2466
BYND,2,0.03820000000000001,2.8499999046325684,6783305.127205849,2.0764
NLST,1,0.9959,0.800000011920929,349429.20106112957,1.9959
DRTS,1,0.9886,4.110000133514404,225671.6993880272,1.9886
ASNS,1,0.9674,0.3930000066757202,451218.3846798539,1.9674
SLNH,1,0.9668,2.75,87174190.93235373,1.9668
BLNK,1,0.9485,1.5199999809265137,6615964.609364271,1.9485000000000001
BARK,1,0.9269,0.8399999737739563,685018.6909580231,1.9268999999999998
ORIS,1,0.9226,0.26899999380111694,19438915.594998747,1.9226
IMPP,1,0.8612,5.0,2322449.2232751846,1.8612
IVDA,1,0.8484,1.2000000476837158,1832437.1327483654,1.8484
HITI,1,0.8124,3.5399999618530273,6342531.319508553,1.8124
ARAI,1,0.7783,3.890000104904175,2388658.1154966354,1.7783
IINN,1,0.7502,1.309999942779541,398144.59250092506,1.7502
GCL,1,0.6996,2.680000066757202,541440.8265399933,1.6996
OPTT,1,0.5413,0.5199999809265137,3529554.6203416586,1.5413000000000001
INVZ,1,0.3825,1.7000000476837158,14412822.249622345,1.3825
BLMZ,1,0.3612,0.20100000500679016,2592461.243041903,1.3612
ATYR,2,-0.36815,0.8410000205039978,35382854.81163025,1.2637
GALT,1,0.0,4.550000190734863,1373954.9057865143,1.0
AIM,1,-0.296,2.680000066757202,737165.6152772903,0.704
PBM,1,-0.6334,3.109999895095825,14691104.096887112,0.36660000000000004
RIG,1,-0.6674,3.190000057220459,187798267.41324902,0.3326
MX,1,-0.8776,3.25,782349.6029663086,0.12239999999999995
CIK,1,-0.9331,2.940000057220459,1013263.7764215469,0.06689999999999996
